id;name;structure-id;structure-abbrev;structure-name;structure-color;strain;transgenic-line;gender;injection-coordinates;injection-volume;injection-structures;sum;num-voxels;selected;experiment_page_url
293009265;Syt17-Cre_NO14_LURC-120284;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Syt17-Cre_NO14;F;[8300, 5000, 10100];0.148787;"[{""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";1.28124;486979;false;http://connectivity.brain-map.org/projection/experiment/293009265
286483411;Rbp4-Cre_KL100-288;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Rbp4-Cre_KL100;M;[8900, 4700, 9900];0.052268;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";1.16329;488726;false;http://connectivity.brain-map.org/projection/experiment/286483411
299857096;Chrna2-Cre_OE25-133244;918;ENTl;Entorhinal area, lateral part;32B825;FVB/N-Crl:CD1(ICR);Chrna2-Cre_OE25;M;[9400, 5200, 9700];0.131902;"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.66339;487658;false;http://connectivity.brain-map.org/projection/experiment/299857096
278435152;Wfs1-Tg2-CreERT2-3541;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Wfs1-Tg2-CreERT2;F;[10000, 4500, 9600];0.305708;"[{""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]";0.65573;484972;false;http://connectivity.brain-map.org/projection/experiment/278435152
278435864;Wfs1-Tg2-CreERT2-3549;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Wfs1-Tg2-CreERT2;M;[9800, 3900, 9300];0.341982;"[{""id""=>409, ""name""=>""Lateral visual area"", ""abbreviation""=>""VISl"", ""color""=>""08858C""}, {""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]";0.56195;480074;false;http://connectivity.brain-map.org/projection/experiment/278435864
167212932;Otof-Cre-2811;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Otof-Cre;M;[9300, 5200, 9700];0.228695;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.4969;489638;false;http://connectivity.brain-map.org/projection/experiment/167212932
272779830;Cux2-IRES-Cre-281;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Cux2-IRES-Cre;M;[9900, 3600, 9900];0.019368;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.47347;488790;false;http://connectivity.brain-map.org/projection/experiment/272779830
305973112;Penk-IRES2-Cre-neo-145872;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Penk-IRES2-Cre;M;[9500, 5200, 9700];0.147067;"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.22593;486177;false;http://connectivity.brain-map.org/projection/experiment/305973112
293702482;Drd3-Cre_KI196_LURC-123359;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Drd3-Cre_KI196;F;[8300, 4600, 10100];0.020295;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";0.19439;477431;false;http://connectivity.brain-map.org/projection/experiment/293702482
181891184;Otof-Cre-2843;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Otof-Cre;F;[9600, 4900, 9400];0.018315;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.14562;489622;false;http://connectivity.brain-map.org/projection/experiment/181891184
301464114;Plxnd1-Cre-125798;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Plxnd1-Cre_OG1;M;[9900, 4200, 9400];0.022403;"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]";0.13589;485796;false;http://connectivity.brain-map.org/projection/experiment/301464114
298798846;A930038C07Rik-Tg1-Cre-126898;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;A930038C07Rik-Tg1-Cre;M;[8700, 4900, 9800];0.026944;"[{""id""=>382, ""name""=>""Field CA1"", ""abbreviation""=>""CA1"", ""color""=>""7ED04B""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.07541;485420;false;http://connectivity.brain-map.org/projection/experiment/298798846
182516286;Wfs1-Tg3-CreERT2-5308;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Wfs1-Tg3-CreERT2;F;[9200, 5200, 10000];0.006328;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.06867;489643;false;http://connectivity.brain-map.org/projection/experiment/182516286
267211671;Pcdh9-Cre-80;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Pcdh9-Cre_NP276;F;[10200, 3500, 9700];0.002451;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.06209;488779;false;http://connectivity.brain-map.org/projection/experiment/267211671
298797996;A930038C07Rik-Tg1-Cre-126802;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;A930038C07Rik-Tg1-Cre;M;[9400, 5000, 9500];0.023802;"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";0.0519;486831;false;http://connectivity.brain-map.org/projection/experiment/298797996
301988879;Htr2a-Cre_KM207-123935;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Htr2a-Cre_KM207;F;[8700, 5000, 10300];0.039559;"[{""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";0.03961;487273;false;http://connectivity.brain-map.org/projection/experiment/301988879
159602279;Ntsr1-Cre-3572;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Ntsr1-Cre_GN220;F;[9900, 4000, 9600];0.005748;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]";0.03161;488090;false;http://connectivity.brain-map.org/projection/experiment/159602279
